time; cam; ref; diff
1597489705.8217719; 26.531; 0.030; 26.501
1597489706.1253352; 26.506; 0.030; 26.476
1597489706.1682267; 26.506; 0.030; 26.476
1597489706.2727928; 26.514; 0.030; 26.484
1597489706.3585336; 26.514; 0.030; 26.484
1597489706.4877224; 26.551; 0.030; 26.521
1597489706.586179; 26.551; 27.062; -0.511
1597489706.706147; 26.555; 27.062; -0.507
1597489706.8222735; 26.555; 27.062; -0.507
1597489706.9399693; 26.543; 27.062; -0.519
1597489707.0685492; 26.543; 27.062; -0.519
1597489707.1691985; 26.571; 27.062; -0.491
1597489707.2780986; 26.571; 27.062; -0.491
1597489707.3865654; 26.569; 27.187; -0.618
1597489707.5262585; 26.569; 27.187; -0.618
1597489707.6359887; 26.595; 27.187; -0.592
1597489707.7278247; 26.595; 27.187; -0.592
1597489707.8233955; 26.599; 27.187; -0.588
1597489707.9837303; 26.599; 27.187; -0.588
1597489708.0719135; 26.594; 27.187; -0.593
1597489708.2032685; 26.594; 27.187; -0.593
1597489708.3264315; 26.582; 27.062; -0.480
1597489708.415992; 26.582; 27.062; -0.480
1597489708.5587742; 26.590; 27.062; -0.472
1597489708.6409905; 26.590; 27.062; -0.472
1597489708.7761638; 26.586; 27.062; -0.476
1597489708.8722522; 26.586; 27.062; -0.476
1597489708.9782934; 26.572; 27.062; -0.490
1597489709.1316788; 26.572; 27.187; -0.615
1597489709.2107704; 26.574; 27.187; -0.613
1597489709.3488464; 26.574; 27.187; -0.613
1597489709.4736981; 26.566; 27.187; -0.621
1597489709.5728521; 26.566; 27.187; -0.621
1597489709.700571; 26.565; 27.187; -0.622
1597489709.810646; 26.565; 27.187; -0.622
1597489709.8977597; 26.570; 27.187; -0.617
1597489710.0356517; 26.570; 27.187; -0.617
1597489710.1454022; 26.565; 27.187; -0.622
1597489710.2361107; 26.565; 27.187; -0.622
1597489710.3707757; 26.566; 27.187; -0.621
1597489710.4620728; 26.566; 27.187; -0.621
1597489710.599427; 26.561; 27.187; -0.626
1597489710.7268198; 26.561; 27.187; -0.626
1597489710.835086; 26.555; 27.187; -0.632
1597489710.9469285; 26.555; 27.250; -0.695
1597489711.0609527; 26.579; 27.250; -0.671
1597489711.1501672; 26.579; 27.250; -0.671
1597489711.2522054; 26.578; 27.250; -0.672
1597489711.3754811; 26.578; 27.250; -0.672
1597489711.4878445; 26.570; 27.250; -0.680
1597489711.6083167; 26.570; 27.250; -0.680
1597489711.7419386; 26.574; 27.250; -0.676
1597489711.8250685; 26.574; 27.187; -0.613
1597489711.955891; 26.572; 27.187; -0.615
1597489712.0570655; 26.572; 27.187; -0.615
1597489712.16919; 26.569; 27.187; -0.618
1597489712.285338; 26.569; 27.187; -0.618
1597489712.430364; 26.574; 27.187; -0.613
1597489712.52036; 26.574; 27.187; -0.613
1597489712.6393197; 26.577; 27.187; -0.610
1597489712.7696126; 26.577; 27.125; -0.548
1597489712.8211143; 26.578; 27.125; -0.547
1597489712.976737; 26.578; 27.125; -0.547
1597489713.070393; 26.567; 27.125; -0.558
1597489713.2053149; 26.567; 27.125; -0.558
1597489713.332003; 26.562; 27.125; -0.563
1597489713.4514906; 26.562; 27.125; -0.563
1597489713.568885; 26.554; 27.125; -0.571
