time; cam; ref; diff
1597488734.4286926; 27.001; 0.030; 26.971
1597488734.6830146; 27.001; 0.030; 26.971
1597488734.7947824; 27.022; 0.030; 26.992
1597488734.8752828; 27.022; 0.030; 26.992
1597488735.0056136; 27.034; 0.030; 27.004
1597488735.1218188; 27.034; 0.030; 27.004
1597488735.2390106; 27.075; 26.687; 0.388
1597488735.310468; 27.075; 26.687; 0.388
1597488735.4522448; 27.068; 26.687; 0.381
1597488735.564494; 27.068; 26.687; 0.381
1597488735.696239; 27.057; 26.687; 0.370
1597488735.796739; 27.057; 26.687; 0.370
1597488735.9080658; 27.047; 26.687; 0.360
1597488736.0476394; 27.047; 26.812; 0.235
1597488736.1071322; 27.072; 26.812; 0.260
1597488736.2587698; 27.072; 26.812; 0.260
1597488736.3513927; 27.065; 26.812; 0.253
1597488736.4820778; 27.065; 26.812; 0.253
1597488736.604581; 27.060; 26.812; 0.248
1597488736.7236457; 27.060; 26.812; 0.248
1597488736.8355331; 27.074; 26.812; 0.262
1597488736.9486551; 27.074; 26.812; 0.262
1597488737.0673165; 27.054; 26.812; 0.242
1597488737.1838024; 27.054; 26.812; 0.242
1597488737.2740169; 27.052; 26.812; 0.240
1597488737.4017687; 27.052; 26.812; 0.240
1597488737.5133748; 27.033; 26.812; 0.221
1597488737.628385; 27.033; 26.812; 0.221
1597488737.7231793; 27.033; 26.812; 0.221
1597488737.8571646; 27.033; 26.687; 0.346
1597488737.9689527; 27.008; 26.687; 0.321
1597488738.0938613; 27.008; 26.687; 0.321
1597488738.2055662; 26.997; 26.687; 0.310
1597488738.3129325; 26.997; 26.687; 0.310
1597488738.4056592; 26.996; 26.687; 0.309
1597488738.5498583; 26.996; 26.687; 0.309
1597488738.6497219; 27.011; 26.812; 0.199
1597488738.7516704; 27.011; 26.812; 0.199
1597488738.874025; 27.015; 26.812; 0.203
1597488738.9564133; 27.015; 26.812; 0.203
1597488739.0952227; 27.015; 26.812; 0.203
