time; cam; ref; diff
1597503151.7776845; 27.005; 0.030; 26.975
1597503152.0614011; 26.973; 0.030; 26.943
1597503152.1234598; 26.967; 0.030; 26.937
1597503152.2250245; 26.967; 0.030; 26.937
1597503152.3170946; 26.950; 0.030; 26.920
1597503152.452884; 26.950; 27.125; -0.175
1597503152.5460289; 26.943; 27.125; -0.182
1597503152.678854; 26.943; 27.125; -0.182
1597503152.7935646; 26.931; 27.125; -0.194
1597503152.9093397; 26.931; 27.125; -0.194
1597503153.0299215; 26.909; 27.125; -0.216
1597503153.1282275; 26.909; 27.125; -0.216
1597503153.258796; 26.901; 27.125; -0.224
1597503153.3730035; 26.901; 27.062; -0.161
1597503153.4776757; 26.891; 27.062; -0.171
1597503153.591353; 26.891; 27.062; -0.171
1597503153.7054982; 26.878; 27.062; -0.184
1597503153.7974565; 26.878; 27.062; -0.184
1597503153.9333277; 26.865; 27.062; -0.197
1597503154.0507038; 26.865; 27.062; -0.197
1597503154.1709895; 26.861; 27.187; -0.326
1597503154.2748811; 26.861; 27.187; -0.326
1597503154.3679664; 26.853; 27.187; -0.334
1597503154.485733; 26.853; 27.187; -0.334
1597503154.6171553; 26.828; 27.187; -0.359
1597503154.7349408; 26.828; 27.187; -0.359
1597503154.8337429; 26.825; 27.187; -0.362
1597503154.951477; 26.825; 27.187; -0.362
1597503155.0643501; 26.826; 27.125; -0.299
1597503155.176383; 26.826; 27.125; -0.299
1597503155.279492; 26.816; 27.125; -0.309
1597503155.3963253; 26.816; 27.125; -0.309
1597503155.5185728; 26.812; 27.125; -0.313
1597503155.6218784; 26.812; 27.125; -0.313
1597503155.7347944; 26.825; 27.125; -0.300
1597503155.8593295; 26.825; 27.125; -0.300
1597503155.978806; 26.825; 27.125; -0.300
1597503156.0643575; 26.825; 27.125; -0.300
1597503156.1913593; 26.815; 27.125; -0.310
1597503156.327019; 26.815; 27.125; -0.310
1597503156.4238951; 26.802; 27.125; -0.323
1597503156.5537004; 26.802; 27.125; -0.323
1597503156.6769197; 26.806; 27.125; -0.319
1597503156.8031526; 26.806; 27.125; -0.319
1597503156.8856645; 26.799; 27.187; -0.388
1597503157.0186331; 26.799; 27.187; -0.388
1597503157.126578; 26.793; 27.187; -0.394
1597503157.2376554; 26.793; 27.187; -0.394
1597503157.3312604; 26.784; 27.187; -0.403
1597503157.4431517; 26.784; 27.187; -0.403
1597503157.5846975; 26.780; 27.187; -0.407
1597503157.7152295; 26.780; 27.000; -0.220
1597503157.8253207; 26.793; 27.000; -0.207
1597503157.9034762; 26.793; 27.000; -0.207
1597503158.0131497; 26.790; 27.000; -0.210
1597503158.1463134; 26.790; 27.000; -0.210
1597503158.242318; 26.774; 27.000; -0.226
1597503158.3553925; 26.774; 27.000; -0.226
1597503158.511127; 26.770; 27.000; -0.230
1597503158.6090398; 26.770; 27.062; -0.292
1597503158.7197776; 26.768; 27.062; -0.294
1597503158.8115847; 26.768; 27.062; -0.294
1597503158.9242547; 26.770; 27.062; -0.292
1597503159.0388277; 26.770; 27.062; -0.292
1597503159.1529288; 26.764; 27.062; -0.298
1597503159.2912714; 26.764; 27.062; -0.298
1597503159.4146717; 26.761; 27.062; -0.301
1597503159.5228004; 26.761; 27.000; -0.239
1597503159.614561; 26.757; 27.000; -0.243
1597503159.7463672; 26.757; 27.000; -0.243
1597503159.864514; 26.748; 27.000; -0.252
1597503159.9731154; 26.748; 27.000; -0.252
1597503160.0848203; 26.728; 27.000; -0.272
1597503160.1795888; 26.728; 27.000; -0.272
1597503160.334165; 26.734; 27.125; -0.391
1597503160.436424; 26.734; 27.125; -0.391
1597503160.5430796; 26.732; 27.125; -0.393
1597503160.6635158; 26.732; 27.125; -0.393
1597503160.747602; 26.754; 27.125; -0.371
1597503160.8743076; 26.754; 27.125; -0.371
1597503160.977386; 26.743; 27.125; -0.382
1597503161.084837; 26.743; 27.125; -0.382
1597503161.219765; 26.727; 27.125; -0.398
1597503161.3127885; 26.727; 27.125; -0.398
1597503161.4350445; 26.712; 27.125; -0.413
1597503161.54443; 26.712; 27.125; -0.413
1597503161.6522763; 26.712; 27.125; -0.413
1597503161.8020093; 26.712; 27.125; -0.413
1597503161.9154453; 26.657; 27.125; -0.468
1597503162.0080888; 26.657; 27.125; -0.468
1597503162.1470523; 26.656; 27.125; -0.469
1597503162.1903913; 26.656; 27.125; -0.469
1597503162.3696175; 26.649; 27.125; -0.476
1597503162.4606812; 26.649; 27.125; -0.476
1597503162.5972254; 26.651; 27.125; -0.474
1597503162.6692073; 26.651; 27.125; -0.474
1597503162.8001313; 26.649; 27.125; -0.476
1597503162.9219186; 26.649; 27.125; -0.476
1597503163.0549884; 26.655; 27.125; -0.470
1597503163.1619005; 26.655; 27.125; -0.470
1597503163.2795372; 26.651; 27.125; -0.474
1597503163.3920162; 26.651; 27.125; -0.474
1597503163.5113773; 26.646; 27.125; -0.479
1597503163.61052; 26.646; 27.125; -0.479
1597503163.6694844; 26.642; 27.125; -0.483
1597503163.8404222; 26.642; 27.125; -0.483
1597503163.9522908; 26.639; 27.125; -0.486
1597503164.0748584; 26.639; 27.125; -0.486
1597503164.1708937; 26.630; 27.125; -0.495
1597503164.28203; 26.630; 27.125; -0.495
1597503164.4204671; 26.610; 27.125; -0.515
1597503164.4892688; 26.610; 27.125; -0.515
1597503164.6459632; 26.607; 27.125; -0.518
1597503164.7507744; 26.607; 27.062; -0.455
1597503164.8641362; 26.612; 27.062; -0.450
1597503164.9939556; 26.612; 27.062; -0.450
1597503165.1087427; 26.605; 27.062; -0.457
1597503165.2231348; 26.605; 27.062; -0.457
1597503165.337969; 26.597; 27.062; -0.465
1597503165.4499164; 26.597; 27.062; -0.465
1597503165.5638611; 26.598; 27.062; -0.464
1597503165.68301; 26.598; 27.125; -0.527
1597503165.7840958; 26.591; 27.125; -0.534
1597503165.8976662; 26.591; 27.125; -0.534
1597503165.99144; 26.612; 27.125; -0.513
1597503166.0846508; 26.612; 27.125; -0.513
1597503166.2396257; 26.606; 27.125; -0.519
1597503166.3334405; 26.606; 27.125; -0.519
1597503166.4538476; 26.632; 27.125; -0.493
1597503166.570533; 26.632; 27.125; -0.493
1597503166.6785126; 26.634; 27.125; -0.491
1597503166.7972991; 26.634; 27.125; -0.491
1597503166.9073825; 26.625; 27.125; -0.500
1597503167.0252209; 26.625; 27.125; -0.500
1597503167.1296632; 26.617; 27.125; -0.508
1597503167.2440608; 26.617; 27.125; -0.508
1597503167.3751419; 26.622; 27.125; -0.503
1597503167.4844162; 26.622; 27.062; -0.440
1597503167.6067865; 26.618; 27.062; -0.444
1597503167.7234979; 26.618; 27.062; -0.444
1597503167.7943113; 26.607; 27.062; -0.455
1597503167.9407709; 26.607; 27.062; -0.455
1597503168.062774; 26.591; 27.062; -0.471
1597503168.1774118; 26.591; 27.062; -0.471
1597503168.2737355; 26.575; 27.062; -0.487
1597503168.410587; 26.575; 27.062; -0.487
1597503168.5185883; 26.573; 27.062; -0.489
1597503168.6442776; 26.573; 27.062; -0.489
1597503168.7256353; 26.550; 27.062; -0.512
1597503168.841325; 26.550; 27.062; -0.512
1597503168.9540956; 26.550; 27.062; -0.512
1597503169.1122992; 26.550; 27.062; -0.512
1597503169.2139657; 26.592; 27.062; -0.470
1597503169.3161201; 26.592; 27.062; -0.470
1597503169.4407263; 26.591; 27.062; -0.471
