time; cam; ref; diff
1599383180.9165282; 26.003; 0.030; 25.973
1599383181.2147145; 26.020; 0.030; 25.990
1599383181.2570484; 26.033; 0.030; 26.003
1599383181.3086798; 26.033; 0.030; 26.003
1599383181.4691215; 26.077; 0.030; 26.047
1599383181.5869796; 26.077; 26.125; -0.048
1599383181.6878512; 26.107; 26.125; -0.018
1599383181.8096848; 26.107; 26.125; -0.018
1599383181.9369113; 26.110; 26.125; -0.015
1599383182.0377467; 26.110; 26.125; -0.015
1599383182.1676702; 26.113; 26.125; -0.012
1599383182.24826; 26.113; 26.125; -0.012
1599383182.3728147; 26.128; 26.125; 0.003
1599383182.486029; 26.128; 26.312; -0.184
1599383182.6006744; 26.140; 26.312; -0.172
1599383182.703961; 26.140; 26.312; -0.172
1599383182.8333673; 26.165; 26.312; -0.147
1599383182.9559467; 26.165; 26.312; -0.147
1599383183.058505; 26.257; 26.312; -0.055
1599383183.1835735; 26.257; 26.312; -0.055
1599383183.3057792; 26.244; 26.375; -0.131
1599383183.3838472; 26.244; 26.375; -0.131
1599383183.5267942; 26.267; 26.375; -0.108
1599383183.6125522; 26.267; 26.375; -0.108
1599383183.7282913; 26.254; 26.375; -0.121
1599383183.8472059; 26.254; 26.375; -0.121
1599383183.9808784; 26.259; 26.375; -0.116
1599383184.1018004; 26.259; 26.375; -0.116
1599383184.2060206; 26.258; 26.375; -0.117
1599383184.3271618; 26.258; 26.375; -0.117
1599383184.4217107; 26.260; 26.375; -0.115
1599383184.5053327; 26.260; 26.375; -0.115
1599383184.6376228; 26.280; 26.375; -0.095
1599383184.7797797; 26.280; 26.375; -0.095
1599383184.874148; 26.276; 26.375; -0.099
1599383185.0160546; 26.276; 26.375; -0.099
1599383185.1267357; 26.319; 26.250; 0.069
1599383185.1954045; 26.319; 26.250; 0.069
1599383185.3443067; 26.338; 26.250; 0.088
1599383185.4657786; 26.338; 26.250; 0.088
1599383185.5434878; 26.348; 26.250; 0.098
1599383185.6824837; 26.348; 26.250; 0.098
1599383185.76941; 26.346; 26.250; 0.096
1599383185.8853374; 26.346; 26.250; 0.096
1599383186.0122583; 26.385; 26.375; 0.010
1599383186.1189594; 26.385; 26.375; 0.010
1599383186.2727044; 26.400; 26.375; 0.025
1599383186.3787627; 26.400; 26.375; 0.025
1599383186.482312; 26.404; 26.375; 0.029
1599383186.581277; 26.404; 26.375; 0.029
1599383186.7030811; 26.424; 26.375; 0.049
1599383186.8109245; 26.424; 26.375; 0.049
1599383186.94442; 26.422; 26.375; 0.047
1599383187.0542753; 26.422; 26.375; 0.047
1599383187.1380572; 26.474; 26.375; 0.099
1599383187.2834296; 26.474; 26.375; 0.099
1599383187.3696342; 26.526; 26.375; 0.151
1599383187.5092375; 26.526; 26.375; 0.151
1599383187.618832; 26.550; 26.375; 0.175
1599383187.7369533; 26.550; 26.250; 0.300
1599383187.8642454; 26.542; 26.250; 0.292
1599383187.9722407; 26.542; 26.250; 0.292
1599383188.0795271; 26.548; 26.250; 0.298
1599383188.1724155; 26.548; 26.250; 0.298
1599383188.3076851; 26.538; 26.250; 0.288
1599383188.4220552; 26.538; 26.250; 0.288
1599383188.5355203; 26.535; 26.250; 0.285
1599383188.6632295; 26.535; 26.375; 0.160
1599383188.7702894; 26.553; 26.375; 0.178
1599383188.8817294; 26.553; 26.375; 0.178
1599383188.9837615; 26.570; 26.375; 0.195
1599383189.0852766; 26.570; 26.375; 0.195
1599383189.2210789; 26.584; 26.375; 0.209
1599383189.333137; 26.584; 26.375; 0.209
1599383189.4683206; 26.616; 26.375; 0.241
1599383189.5458813; 26.616; 26.375; 0.241
1599383189.6458454; 26.624; 26.375; 0.249
1599383189.7606103; 26.624; 26.375; 0.249
1599383189.9069364; 26.622; 26.375; 0.247
1599383189.9884992; 26.622; 26.375; 0.247
1599383190.130299; 26.620; 26.375; 0.245
1599383190.2159488; 26.620; 26.375; 0.245
1599383190.3632243; 26.625; 26.250; 0.375
1599383190.4753323; 26.625; 26.250; 0.375
1599383190.5677476; 26.661; 26.250; 0.411
1599383190.7065341; 26.661; 26.250; 0.411
1599383190.8067064; 26.722; 26.250; 0.472
1599383190.9446802; 26.722; 26.250; 0.472
1599383191.0536115; 26.692; 26.250; 0.442
1599383191.1560054; 26.692; 26.250; 0.442
1599383191.283574; 26.694; 26.250; 0.444
1599383191.3945975; 26.694; 26.250; 0.444
1599383191.4760315; 26.700; 26.250; 0.450
1599383191.613096; 26.700; 26.250; 0.450
1599383191.704246; 26.708; 26.250; 0.458
1599383191.8395104; 26.708; 26.250; 0.458
1599383191.9657125; 26.740; 26.250; 0.490
1599383192.0754192; 26.740; 26.250; 0.490
1599383192.180768; 26.748; 26.312; 0.436
1599383192.2538993; 26.748; 26.312; 0.436
1599383192.414199; 26.781; 26.312; 0.469
1599383192.4765673; 26.781; 26.312; 0.469
1599383192.6286886; 26.832; 26.312; 0.520
1599383192.7461867; 26.832; 26.312; 0.520
1599383192.8472366; 26.827; 26.312; 0.515
1599383192.9500115; 26.827; 26.312; 0.515
1599383193.088127; 26.830; 26.312; 0.518
1599383193.2157462; 26.830; 26.312; 0.518
1599383193.3343809; 26.866; 26.312; 0.554
1599383193.407272; 26.866; 26.312; 0.554
1599383193.543641; 26.880; 26.312; 0.568
1599383193.6643264; 26.880; 26.312; 0.568
1599383193.7471209; 26.873; 26.312; 0.561
1599383193.865191; 26.873; 26.375; 0.498
1599383193.9963064; 26.870; 26.375; 0.495
1599383194.1352987; 26.870; 26.375; 0.495
1599383194.2375667; 26.864; 26.375; 0.489
1599383194.3273156; 26.864; 26.375; 0.489
1599383194.4590204; 26.870; 26.375; 0.495
1599383194.5696025; 26.870; 26.375; 0.495
1599383194.668845; 26.868; 26.375; 0.493
1599383194.7528753; 26.868; 26.375; 0.493
1599383194.921791; 26.868; 26.375; 0.493
1599383195.0241625; 26.868; 26.375; 0.493
1599383195.1351955; 26.861; 26.375; 0.486
1599383195.2433188; 26.861; 26.375; 0.486
1599383195.3636959; 26.859; 26.375; 0.484
1599383195.4851818; 26.859; 26.375; 0.484
1599383195.597298; 26.871; 26.375; 0.496
1599383195.6839652; 26.871; 26.375; 0.496
1599383195.8515508; 26.882; 26.375; 0.507
1599383195.9279096; 26.882; 26.375; 0.507
1599383196.0335393; 26.914; 26.375; 0.539
1599383196.1723464; 26.914; 26.375; 0.539
1599383196.2536335; 26.971; 26.375; 0.596
1599383196.3791444; 26.971; 26.375; 0.596
1599383196.5089746; 26.969; 26.375; 0.594
1599383196.6268122; 26.969; 26.375; 0.594
1599383196.7062805; 26.963; 26.375; 0.588
1599383196.8281245; 26.963; 26.375; 0.588
1599383196.9644978; 26.990; 26.375; 0.615
1599383197.0579643; 26.990; 26.375; 0.615
1599383197.185242; 27.022; 26.375; 0.647
1599383197.3007529; 27.022; 26.375; 0.647
1599383197.4167137; 27.051; 26.312; 0.739
